entity_name,category_code,category_description,url,description,date_added,source,notes
GDG Algiers,CIVC,Civil society,https://gdgalgiers.com/,"A Google Developers Group in Algeria, gathering local software developers.",2021-05-27,JOSA,
Université Badji Mokhtar Annaba,ACDM,Academic (education and research),http://lri.univ-annaba.dz/?p=42,An AI research group part of the university's computer science research lab.,2021-05-27,JOSA,
Université des Sciences et de la Technologie Houari Boumediène,ACDM,Academic (education and research),https://fei.usthb.dz/spip.php?article75,Offers a Master’s in Intelligent Systems.,2021-05-27,JOSA,
Universite de Jijel Faculte des Sciences Exactes et Informatique,ACDM,Academic (education and research),http://www.univ-jijel.dz/fsei/index.php/master-academique-en-intelligence-artificielle-ia,Offers a Master’s in AI.,2021-05-27,JOSA,
School of AI Algiers,ACDM,Academic (education and research),https://www.facebook.com/pg/SchoolofAIAlgiers/,Local chapter of School of AI company which teaches machine learning and data science.,2021-05-27,JOSA,
Université Mohamed Khider Biskra,ACDM,Academic (education and research),http://univ-biskra.dz/index.php/en/presentation/facultes-et-departements/45-news/anonces/2356-call-for-applications-artificial-intelligence-in-the-social-sciences-research-area,Research group focusing on the social sciences aspect of AI.,2021-05-27,JOSA,
École Nationale Supérieure d'Informatique – Laboratoire de la Communication dans les Systèmes Informatiques,ACDM,Academic (education and research),http://lcsi.esi.dz/,An information systems and communication research group with AI on the research agenda.,2021-05-27,JOSA,
IC-AIRES2020 — International Conference on Artificial Intelligence in Renewable Energetic Systems,ACDM,Academic (education and research),https://www.archeditech.org/,A conference happening in Algeria at the intersection of AI and renewable energy.,2021-05-27,JOSA,
Université Mohamed-Chérif Messaadia Souk Ahras – Département de Mathématiques et Informatique,ACDM,Academic (education and research),http://www.univ-soukahras.dz/fr/module/173,Offers Master's in Web and AI.,2021-05-27,JOSA,
University of Jijel – Faculté des Sciences Exactes et Informatique,ACDM,Academic (education and research),http://www.univ-jijel.dz/fsei/index.php/master-academique-en-intelligence-artificielle-ia,Offers Master's in AI.,2021-05-27,JOSA,
Centre de Développement des Technologies Avancées,ACDM,Academic (education and research),https://www.cdta.dz/fr/,"National research center for the development of advanced technology, with AI on the agenda.",2021-05-27,JOSA,
Sylabs (Entrepreneurial Hub),FUND,Funding,http://sylabs-dz.com/dz-ecosystem-mapping/,Entrepreneurial hub.,2021-05-27,JOSA,
Ministry of Higher Education and Scientific Research,GOVT,Government,https://www.mesrs.dz/en_US,Working on a strategic national AI plan which allocates 20 billion Algerian dollars for AI development.,2021-05-27,JOSA,
Algeria 2.0,INDS,Industry,https://algeria20.com/,A conference for tech enthusiasts and professionals in Algeria.,2021-05-27,JOSA,
ISINIAA,INDS,Industry,https://isiniaa.com/,A B2B company offering AI and big data as a service.,2021-05-27,JOSA,
