entity_name,category_code,category_description,url,description,date_added,source,notes
Akhbarmeter,CIVC,Civil society,https://akhbarmeter.org/,A media observatory and fact-checking platform that applies AI algorithms in its credibility rating process.,2021-05-27,JOSA,
Mada Masr,CIVC,Civil society,https://madamasr.com/en,Online independent media outlet currently censored in Egypt.,2021-05-27,JOSA,
"International Conference on Artificial Intelligence, Robotics and Control British University Egypt",ACDM,Academic (education and research),http://www.airc.org/,Conference on AI and Robotics at the British University of Egypt.,2021-05-27,JOSA,
Faculty of Artificial Intelligence at Kafrelsheikh University,ACDM,Academic (education and research),http://www.kfs.edu.eg/ai/,Offers taught programs in AI.,2021-05-27,JOSA,
Faculty of Computers and Artificial Intelligence at Cairo Univesity,ACDM,Academic (education and research),https://fci.cu.edu.eg/,Offers Master’s and a PhD.,2021-05-27,JOSA,
Faculty of computer and Artificial Intelligence at Banha University,ACDM,Academic (education and research),http://www.fci.bu.edu.eg/,Conducts research in AI.,2021-05-27,JOSA,
Faculty of Computers and Information at Helwan University,ACDM,Academic (education and research),http://fcih.helwan.edu.eg/index.php/ar/,Offers specialisations in AI.,2021-05-27,JOSA,
Faculty of Media Engineering and Technology at Germany University in Cairo,ACDM,Academic (education and research),http://www.guc.edu.eg/en/academic_programs/faculties/faculty_details.aspx?facultyId=1,Offers courses in AI on a postgraduate level.,2021-05-27,JOSA,
Faculty of Computers & Artificial Intelligence - Beni Suef University,ACDM,Academic (education and research),https://www.fcis.bsu.edu.eg/,Offers specialisations in AI.,2021-05-27,JOSA,
American University of Cairo,ACDM,Academic (education and research),https://www.aucegypt.edu/,"Master’s and PhD in Computing, specialities in AI available.",2021-05-27,JOSA,
Falak Startups,FUND,Funding,http://falakstartups.com/,"A startup accelerator designed to support and empower the next generation of Egyptian entrepreneurs, providing funding and many other services.",2021-05-27,JOSA,
Cairo Angels,FUND,Funding,http://cairoangels.com/,"An angel investment network, investing in, and supporting early-stage startups in Egypt and across the MENA region.",2021-05-27,JOSA,
Endure Capital,FUND,Funding,https://www.endurecap.com/,An early stage investment founder-focused venture capital firm.,2021-05-27,JOSA,
Algebra Ventures,FUND,Funding,https://algebraventures.com/,A venture capital fund that invests early stage tech startups.,2021-05-27,JOSA,
Ezdehar,FUND,Funding,http://ezdehar.com/,A private equity fund manager investing in high growth businesses in Egypt.,2021-05-27,JOSA,
Accelero Capital,FUND,Funding,http://www.accelerocapital.com/,"An investment and management group focused on telecommunication, digital media, and technology.",2021-05-27,JOSA,
AlexAngels,FUND,Funding,http://www.alexandriaangels.com/,"An angel network that invests in early stage startups, mainly in Alexandria.",2021-05-27,JOSA,
SECC,GOVT,Government,https://www.secc.org.eg/,"An ICT organization aiming at bridging the gap between the current local technologies and needed technologies for economical, social, and environmental development. SECC organized AI-related workshops as capacity building activities.",2021-05-27,JOSA,
Synapse Analytics,INDS,Industry,https://www.synapse-analytics.io/,An analytics tool using AI to help organizations leverage their data and make data-driven decisions.,2021-05-27,JOSA,
AvidBeam,INDS,Industry,https://www.avidbeam.com/,A set of tools to extract intelligence information by analyzing thousands of videos in real-time.,2021-05-27,JOSA,
MerQ,INDS,Industry,http://merq.ai/,A company specialized in developing chatbots as virtual assistants in the financial sector.,2021-05-27,JOSA,
Botme,INDS,Industry,https://www.botme.com/,A platform for building chatbots for businesses and helping manage their business processes.,2021-05-27,JOSA,
WideBot,INDS,Industry,https://widebot.net/,An Arabic-focused chatbot builder platform.,2021-05-27,JOSA,
Webville,INDS,Industry,http://www.webville.io/,A social rating engine that aggregates and analyses content ratings to help users preview the quality of any link on the web using AI.,2021-05-27,JOSA,
HireHunt,INDS,Industry,https://hirehunt.com/,A matchmaking tool that allows recruiters hire suitable candidates faster with the help of AI technology.,2021-05-27,JOSA,
Mintrics,INDS,Industry,http://mintrics.com/,A social media video analytics platform that enables publishers to double their viewership by making data-driven decisions.,2021-05-27,JOSA,
DevisionX,INDS,Industry,https://devisionx.com/,A company that develops computer vision solutions to aid industrial processes.,2021-05-27,JOSA,
TA Telecom,INDS,Industry,https://www.tatelecom.com/,"A software development company that builds mobile content platforms and analytic tools, specialising in AI-development.",2021-05-27,JOSA,
Autotell,INDS,Industry,http://autotell/,"A platform to communicate with your car, get road analytics, and detect faults, and instant driver advice with an AI personal assistant.",2021-05-27,JOSA,
