entity_name,category_code,category_description,url,description,date_added,source,notes
Phi Science,CIVC,Civil society,https://aais.phiscience.co/,"A community of scientists interested in education and applied research. Most recently, they organised the Arab AI summit.",2021-05-27,JOSA,
7iber,CIVC,Civil society,https://www.7iber.com/,An independent media outlet covering technology and society.,2021-05-27,JOSA,
City.ai (Amman),CIVC,Civil society,https://city.ai/cities/amman/,A community of AI enthusiasts promoting AI capacity building.,2021-05-27,JOSA,
Jordan Open Source Association,CIVC,Civil society,https://jordanopensource.org/,A non-profit organization that works for the promotion and implementation of the open source principles and digital rights in Jordan.,2021-05-27,JOSA,
Royal Scientific Society,CIVC,Civil society,https://www.rss.jo/,"An independent non-profit science institution that specialize in science-related research, policy, and education. Recently, it launched a capacity building program for students titled “Data Intensive Science”.",2021-05-27,JOSA,
King Hussein School of Computing - Princess Sumaya University of Technology,ACDM,Academic (education and research),https://www.psut.edu.jo/content/master-data-science,Offers an MSc in Data Science.,2021-05-27,JOSA,
King Abdullah II School of Information Technology - University of Jordan,ACDM,Academic (education and research),http://computer.ju.edu.jo/Home.aspx,Programs with specialisation in AI.,2021-05-27,JOSA,
Faculty of AI - Al-Balqa` Applied University,ACDM,Academic (education and research),https://www.bau.edu.jo/bauar/Colleges/AI/IAR.aspx,First faculty dedicated to AI in Jordan.,2021-05-27,JOSA,
Oasis500,FUND,Funding,http://oasis500.com/,A seed investment company and business accelerator in MENA in the Tech and Creative Industry spaces.,2021-05-27,JOSA,
Beyond Capital,FUND,Funding,http://beyondcapital.vc/,"A network for Entrepreneurs, Finance Entrepreneurs and Angel Investors that aims to promote the entrepreneurial ecosystem. It includes some funding programs for Jordanian startups, usually through its angel investor network.",2021-05-27,JOSA,
Silicon Badia,FUND,Funding,https://www.siliconbadia.com/,A venture capital firm that partners with entrepreneurs to solve global-scale problems.,2021-05-27,JOSA,
Propeller,FUND,Funding,http://propellerinc.me/,"A venture capital firm focused on technology, product and design.",2021-05-27,JOSA,
Adam Tech,FUND,Funding,http://adamtechventures.com/,A $5M fund that invests in technology startups.,2021-05-27,JOSA,
ISSF,FUND,Funding,https://issfjo.com,"A private sector managed fund making investments in innovative startups and early stage SMEs, with contributions by the World Bank & Jordan’s Central Bank.",2021-05-27,JOSA,
Relativity Fund,FUND,Funding,https://relativelyfund.com/,A tech accelerator with limited investments.,2021-05-27,JOSA,
Shamal Start,FUND,Funding,http://www.shamalstart.com/,"An accelerator in the north of Jordan, aims to support and enable entrepreneurs in creating sustainable businesses related to the manufacturing/hardware sector.",2021-05-27,JOSA,
Dash Ventures,FUND,Funding,http://dashventures.com/,Venture capital firm that invests in information technology startups.,2021-05-27,JOSA,
Ministry of Digital Economy and Entrepreneurship,GOVT,Government,http://modee.gov.jo/,"The Jordanian ministry responsible for the ICT sector, in addition to digital economy and entrepreneurship. Currently, the ministry is drafting a national AI policy.",2021-05-27,JOSA,
Arabot,INDS,Industry,https://arabot.io/,An intelligent Arabic chatbot to help businesses improve customer experience and deliver an enjoyable journey using AI.,2021-05-27,JOSA,
Hareef.ai,INDS,Industry,https://www.sirvy.ai/,A set of specialized chatbots that enable hotels to offer better and smoother customer experience.,2021-05-27,JOSA,
Salma.ai/Mawdoo3,INDS,Industry,http://salma.ai/Mawdoo3,An AI-based Arabic personal voice assistant.,2021-05-27,JOSA,
Labiba,INDS,Industry,https://www.labiba.ai/,An AI company specialized in building virtual agents and chatbots. Labiba is now based in UAE.,2021-05-27,JOSA,
ViaVii,INDS,Industry,https://viavii.com/,A central hub for genuine local experiences that uses AI for its travel recommendation engine and chat bot.,2021-05-27,JOSA,
Whiyse,INDS,Industry,https://www.whyise.com/,Impact analysis solution that enables organization to aggregate data from different sources and track impact based on key indicators in real-time. Whiyse raised funding to leverage AI for better results.,2021-05-27,JOSA,
Elvatus,INDS,Industry,https://web.elevatus.jobs/,A service to match employers and employees quickly and accurately using AI.,2021-05-27,JOSA,
JoVision,INDS,Industry,http://www.jo-vision.com/site/,A company that provides complete solutions for industrial tasks including Quality Control and Non Destructive Testing based on computer vision and AI.,2021-05-27,JOSA,
Baseet.ai,INDS,Industry,https://baseet.ai,"A company that aims to simplify the process of building AI applications through introducing a cloud-based, visual development platform to empower businesses to build, train, and deploy AI-powered applications.",2021-05-27,JOSA,
OpenSooq,INDS,Industry,https://engineering.opensooq.com/,A classified platform that uses machine learning for recommendations.,2021-05-27,JOSA,
Open Insights,INDS,Industry,http://www.open-insights.com/,A consulting firm that gives recommendations based on data analysis using data science techniques.,2021-05-27,JOSA,
ArabiaWeather,INDS,Industry,https://www.arabiaweather.com/en,Weather forecasting company that utilises AI technology to improve its prediction technologies.,2021-05-27,JOSA,
Progresssoft,INDS,Industry,https://www.progressoft.com/products/signature-verification-recognition/ps-asv,Technology company building real-time payment solutions some of which are built using AI.,2021-05-27,JOSA,
