entity_name,category_code,category_description,url,description,date_added,source,notes
7amleh,CIVC,Civil society,https://7amleh.org/,Non-profit organisation that works to promote digital rights for Palestinians.,2021-05-27,JOSA,
Arab American University,ACDM,Academic (education and research),https://www.aaup.edu/Academics/Graduate-Studies/Faculty-Graduate-Studies/Natural-Engineering-and-Technology-Sciences-Department/Master-Data-Science-and-Business-Analytics#,Offers a Master’s in Data Science and Business Analytics.,2021-05-27,JOSA,
An-Najah National University,ACDM,Academic (education and research),https://www.najah.edu/en/academic/undergraduate-programs/program/computer-science-apprenticeship-program/info-card/,Offers a Computer Science apprenticeship with a specialisation in Artificial Intelligence.,2021-05-27,JOSA,
Birzeit University,ACDM,Academic (education and research),https://www.birzeit.edu/,Hosted the first Palestine Creative AI Week which culminated in a hackathon.,2021-05-27,JOSA,
Rawabi Tech Hub/Bader,FUND,Funding,https://www.rawabi.ps/en/rawabi-tech-hub,"A technology fund of seed capital, with the goal of supporting technology and ICT-related start-ups, fostering growth and expansion through direct investment.",2021-05-27,JOSA,
Siraj,FUND,Funding,https://www.siraj.ps/,"A dedicated Palestinian private equity fund manager, that invests in Tech company among other sectors.",2021-05-27,JOSA,
Ibtikar Fund,FUND,Funding,http://ibtikarfund.com/,Ibtikar invests in good ideas of Palestinian entrepreneurs as seed investments.,2021-05-27,JOSA,
Paltel,INDS,Industry,https://www.paltel.ps/,Largest telecommunications company in Palestine building the state’s first and second data centers.,2021-05-27,JOSA,
Progineer,INDS,Industry,https://www.progineer.net/big-data-services/,Technology company offers big data solutions.,2021-05-27,JOSA,
RedCrow Intelligence,INDS,Industry,https://www.redcrow.co/,Signals intelligence company that provides a security and threat alert system via a mobile application and Web dashboard.,2021-05-27,JOSA,
AICom,INDS,Industry,https://www.aicom.ai/,Provides chatbots specialised for e-commerce which can be integrated with Facebook Messenger and online shops.,2021-05-27,JOSA,
Wikaya,INDS,Industry,https://www.wikayamed.com/technology,A digital health application that collects data from smartphones and wearables to generate recommendations for health and lifestyle changes in order to prevent chronic diseases.,2021-05-27,JOSA,
