@@ -2,32 +2,32 @@ entity_name;category_code;category_description;url;description;date_added;source
Polytech International;ACDM;Academic (education and research);http://pi.tn/course/big-data-business-intelligence/#1556616930762-9156aa0b-e6ff;Offers Bachelorâ€™s in Big Data Engineering and Business Intelligence;27/05/2021;JOSA;
Computer and Embedded Systems CES LR11ES49;ACDM;Academic (education and research);http://www.ceslab.org/;Created in 2011 it is a Research Laboratory located at Ecole Nationale d'Ingénieurs de Sfax University of Sfax;06/08/2021;MoHESR;
Digital Research Centre of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.crns.rnrt.tn/;Public Research Centre Specialized in Image and Signal Processing;03/08/2021;DES;
Automatic Research Laboratory LARA LR11ES18;ACDM;Academic (education and research);http://www.edsti.enit.rnu.tn/fr/index.php?id=26;Created in 2011 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
Laboratory of Signal Image and Information Technology SITI [LR11ES17];ACDM;Academic (education and research);http://www.edsti.enit.rnu.tn/fr/structures_02.php?id=18&code=LR-11-ES17&code1=99/UR/11-19&code2=&code3=;Created in 2011 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
Laboratory of Analysis and Control of Systems ACS [LR11ES20];ACDM;Academic (education and research);http://www.edsti.enit.rnu.tn/fr/structures_02.php?id=19&code=LR-11-ES20&code1=99/UR/11-30&code2=&code3=;Created in 2011 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
Robotics Computer Science and Complex Systems RISC [LR16ES07];ACDM;Academic (education and research);http://www.edsti.enit.rnu.tn/fr/structures_02.php?id=25&code=LR-16-ES07&code1=&code2=&code3=;Created in 2016 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Tunis University of Tunis El Manar;06/08/2021;MoHESR;
National School of Electronics and Telecommunications of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.enetcom.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
New Technologies and Telecom Systems Research Unit NTS’Com [UR16ES15];ACDM;Academic (education and research);http://www.enetcom.rnu.tn/fra/pages/335/Unit%C3%A9-en-Nouvelles-Technologies-et-Syst%C3%A8mes-des-T%C3%A9l%C3%A9communications;Created in 2016 it is a Research Unit located at Ecole Nationale d'Electronique et des Télécommunications de Sfax University of Sfax;06/08/2021;MoHESR;
Advanced Technologies for Image and Signal Processing Research Unit ATISP [UR17ES41];ACDM;Academic (education and research);http://www.enetcom.rnu.tn/fra/pages/336/Unit%C3%A9-en-Advanced-Technologies-for-Image-and-Signal-Processing;Created in 2017 it is a Research Unit located at Ecole Nationale d'Electronique et des Télécommunications de Sfax University of Sfax;06/08/2021;MoHESR;
National Engineering School of Carthage (Part of University of Carthage);ACDM;Academic (education and research);http://www.enicarthage.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Research Laboratory on Smart Electricity & ICT SEICT [LR18ES44];ACDM;Academic (education and research);http://www.enicarthage.tn/EI&TIC/;Created in 2018 it is a Research Laboratory located at Institut Supérieur des Technologies et de l'Information  University of Carthage;06/08/2021;MoHESR;
National Engineering School of Gabès (Part of University of Gabes);ACDM;Academic (education and research);http://www.enig.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Numerical Control of Industrial Processes CONPRI [LR18ES49];ACDM;Academic (education and research);http://www.enig.rnu.tn/index.php?p=details_unite&dr=fr&tmp=50;Created in 2018 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Gabes University of Gabes;06/08/2021;MoHESR;
National Engineering School of Monastir (Part of University of Monastir);ACDM;Academic (education and research);http://www.enim.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
National Engineering School of Sfax (Part of University of Sfax);ACDM;Academic (education and research);http://www.enis.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Laboratory of Sciences and Techniques of Automatic Control and Computer Engineering Lab-STA [LR11ES50];ACDM;Academic (education and research);http://www.enis.rnu.tn/fra/pages/408/Laboratoire-des-Sciences-et-Techniques-de-l%E2%80%99Automatique-et-de-l%E2%80%99informatique-industrielle-(Lab-STA)-LR11ES50;Created in 2011 it is a Research Laboratory located at Ecole Nationale d'Ingénieurs de Sfax University of Sfax;06/08/2021;MoHESR;
National Engineering School of Sousse (Part of University of Sousse);ACDM;Academic (education and research);http://www.eniso.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Networked objects control and communication systems NOCCS [LR16ES14];ACDM;Academic (education and research);http://www.eniso.rnu.tn/fr/list_cat.php?catid=67;Created in 2016 it is a Research Laboratory located at Ecole Nationale d’Ingénieurs de Sousse University of Sousse;06/08/2021;MoHESR;
National Engineering School of Tunis (Part of University of Tunis El Manar);ACDM;Academic (education and research);http://www.enit.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
National School of Computer Studies (Part of University of Manouba);ACDM;Academic (education and research);http://www.ensi.rnu.tn/;Public institution providing undergraduate and graduate educational programs in Computer Science;03/08/2021;DES;
Research Center on Networks Image Systems Architecture and Multimedia CRISTAL [LR99ES25];ACDM;Academic (education and research);http://www.ensi.rnu.tn/fr/page.php?id_smenu=44;Created in 1999 it is a Research Laboratory located at Ecole Nationale des Sciences de l'Informatique University of Manouba;06/08/2021;MoHESR;
