entity_name,category_code,category_description,url,description,date_added,source,notes
Inception Institute of AI,ACDM,Academic (education and research),http://www.inceptioniai.org,"A research institute that aims at driving excellence and leadership of AI research in the UAE and the wider world to promote economic growth, foster innovation and improve healthcare and people’s lives.",2021-05-27,JOSA,
Mohamed bin Zayed University of AI,ACDM,Academic (education and research),https://mbzuai.ac.ae,"A special university that strives to establish and evolve interdisciplinary, collaborative research and development capability in AI, while educating students to be innovators and leaders with the knowledge to grow technology and enterprise in the UAE and globally.",2021-05-27,JOSA,
Heriot Watt university,ACDM,Academic (education and research),https://www.hw.ac.uk/dubai/study/postgraduate/artificial-intelligence.htm#,"Offering a MSc in AI, HWU hopes to give students the understanding and skills to develop intelligent software applications, such as those involving evolutionary computation and learning.",2021-05-27,JOSA,
United Arab Emirates University,ACDM,Academic (education and research),https://uaeu.ac.ae/en/catalog/undergraduate/programs/program_22118.shtml,"Within its minor of AI, UAEU’s students will learn how to improve the UAE government agencies and industry performance with these exponentially improving new technologies.",2021-05-27,JOSA,
American University of Sharjah,ACDM,Academic (education and research),https://www.aus.edu/media/news/american-university-of-sharjah-launches-certificate-in-artificial-intelligence-for-smart,"Offering a certificate of AI for smart cities, AUS serves mid- to high-level executives from across the Middle East tasked with developing Smart City solutions, equipping them with the needed knowledge and skills.",2021-05-27,JOSA,
AIISI/Khalifa University,ACDM,Academic (education and research),https://www.ku.ac.ae/about/artificial-intelligence-and-intelligent-systems-institute/,"A multidisciplinary research unit in Khalifa University, focused primarily on robotics, artificial intelligence, data science, next-gen networks, semiconductor technologies and cybersecurity",2021-05-27,JOSA,
Machine Learning & Arabic Language Processing Research Group/Sharjah University,ACDM,Academic (education and research),https://www.sharjah.ac.ae/en/Research/RISE/MLALP/Pages/default.aspx,A research group that engages in interdisciplinary collaborative research projects with external entities that share the same concerns about Arabic computing.,2021-05-27,JOSA,
Turn8,FUND,Funding,https://turn8.co,A growth accelerator offers several rounds per year focused on startups with minimum viable product innovations (MVPs) and immediate product-to-market fit in the MENA region.,2021-05-27,JOSA,
Khalifa Fund,FUND,Funding,https://www.khalifafund.ae/,"The fund provides capacity building and funding in Abu Dhabi and other UAE regions, for UAE nationals.",2021-05-27,JOSA,
BECO Capital,FUND,Funding,https://becocapital.com/,An early stage venture capital firm in the UAE,2021-05-27,JOSA,
AI Venture Labs,FUND,Funding,http://aiventurelabs.com,An accelerator with a special focus on AI and cloud based startups to transform industries vertical-by-vertical.,2021-05-27,JOSA,
Dubai Angel Investors,FUND,Funding,https://www.dubaiangelinvestors.me/,"A micro-VC incorporated as an investment company and made up of like-minded individuals, interested in seed and Series A rounds of early-stage and growth technology companies.",2021-05-27,JOSA,
Dtec Ventures,FUND,Funding,https://dtec.ae/ventures/,A VC firm that invests in early-stage technology companies in the MENA region with a nucleus to Dubai.,2021-05-27,JOSA,
GINCO Investments VC,FUND,Funding,https://www.ginco.investments/portfolio,"A direct investment fund, focusing on Seed through Series B investments in software technology companies.",2021-05-27,JOSA,
GlowFish Capital,FUND,Funding,https://www.glowfishcapital.com,A fund that invests in seed and growth stages of disrupting startups.,2021-05-27,JOSA,
Vuja De Capital,FUND,Funding,https://www.vujadecapital.com/,"A venture capital firm that seeks to invest in companies operating in the cryptocurrency, artificial intelligence, blockchain and online sectors.",2021-05-27,JOSA,
Falcon Network,FUND,Funding,https://falconnetwork.org/,A global network of angels that partners with incubators to select and invest in startups.,2021-05-27,JOSA,
Smart Dubai,GOVT,Government,https://www.smartdubai.ae/,"A government office whose goal is to spearhead Dubai's ""smart"" transformation and make Dubai the happiest city in the world.",2021-05-27,JOSA,
The Ministry of Artificial Intelligence,GOVT,Government,https://ai.gov.ae/,The ministry responsible for enhancing the government performance by investing the latest technologies and tools of artificial intelligence and applying them in various sectors.,2021-05-27,JOSA,
The List,INDS,Industry,https://gothelist.com/,Luxury fashion e-commerce product that connects people to the right products via artificial intelligence.,2021-05-27,JOSA,
Wrappup (Acquired),INDS,Industry,https://www.menabytes.com/voicera-wrappup/,A meeting-based productivity app with intelligent voice recording that helps inside sales managers make better decisions.,2021-05-27,JOSA,
