country	name	url	category	description	date_added	source	notes
Algeria	GDG Algiers	https://gdgalgiers.com/	Civil society	A Google Developers Group in Algeria, gathering local software developers.	2021-05-27		
Algeria	Université Badji Mokhtar Annaba	http://lri.univ-annaba.dz/?p=42	Education and research	An AI research group part of the university's computer science research lab.	2021-05-27		
Algeria	Université des Sciences et de la Technologie Houari Boumediène	https://fei.usthb.dz/spip.php?article75	Education and research	Offers a Master’s in Intelligent Systems.	2021-05-27		
Algeria	Universite de Jijel Faculte des Sciences Exactes et Informatique	http://www.univ-jijel.dz/fsei/index.php/master-academique-en-intelligence-artificielle-ia	Education and research	Offers a Master’s in AI.	2021-05-27		
Algeria	School of AI Algiers	https://www.facebook.com/pg/SchoolofAIAlgiers/	Education and research	Local chapter of School of AI company which teaches machine learning and data science.	2021-05-27		
Algeria	Université Mohamed Khider Biskra	http://univ-biskra.dz/index.php/en/presentation/facultes-et-departements/45-news/anonces/2356-call-for-applications-artificial-intelligence-in-the-social-sciences-research-area	Education and research	Research group focusing on the social sciences aspect of AI.	2021-05-27		
Algeria	École Nationale Supérieure d'Informatique – Laboratoire de la Communication dans les Systèmes Informatiques	http://lcsi.esi.dz/	Education and research	An information systems and communication research group with AI on the research agenda.	2021-05-27		
Algeria	IC-AIRES2020 — International Conference on Artificial Intelligence in Renewable Energetic Systems	https://www.archeditech.org/	Education and research	A conference happening in Algeria at the intersection of AI and renewable energy.	2021-05-27		
Algeria	Université Mohamed-Chérif Messaadia Souk Ahras – Département de Mathématiques et Informatique	http://www.univ-soukahras.dz/fr/module/173	Education and research	Offers Master's in Web and AI.	2021-05-27		
Algeria	University of Jijel – Faculté des Sciences Exactes et Informatique	http://www.univ-jijel.dz/fsei/index.php/master-academique-en-intelligence-artificielle-ia	Education and research	Offers Master's in AI.	2021-05-27		
Algeria	Centre de Développement des Technologies Avancées	https://www.cdta.dz/fr/	Education and research	National research center for the development of advanced technology, with AI on the agenda.	2021-05-27		
Algeria	Sylabs (Entrepreneurial Hub)	http://sylabs-dz.com/dz-ecosystem-mapping/	Funding	Entrepreneurial hub.	2021-05-27		
Algeria	Ministry of Higher Education and Scientific Research	https://www.mesrs.dz/en_US	Government	Working on a strategic national AI plan which allocates 20 billion Algerian dollars for AI development.	2021-05-27		
Algeria	Algeria 2.0	https://algeria20.com/	Industry	A conference for tech enthusiasts and professionals in Algeria.	2021-05-27		
Algeria	ISINIAA	https://isiniaa.com/	Industry	A B2B company offering AI and big data as a service.	2021-05-27		
Bahrain	Artificial Intelligence Society Bahrain	https://www.cshub.com/events-cybersecurityme/mediapartners/artificial-intelligence-society-bahrain	Civil society	Non-profit independent organisation aimed at promoting AI locally.	2021-05-27		
Egypt	Akhbarmeter	https://akhbarmeter.org/	Civil society	A media observatory and fact-checking platform that applies AI algorithms in its credibility rating process.	2021-05-27		
Egypt	Mada Masr	https://madamasr.com/en	Civil society	Online independent media outlet currently censored in Egypt.	2021-05-27		
Bahrain	Bahrain Polytechnic AI Academy	https://ai.polytechnic.bh/	Education and research	First AI academy in Bahrain offering vocational short courses in data science and AI aligned with Microsoft's certification.	2021-05-27		
Bahrain	Tenmou	https://tenmou.me/	Funding	Angel investors investing in scalable, technology-focused companies.	2021-05-27		
Bahrain	C5 Accelerate	https://www.c5us.com	Funding	A technology investment firm with focus on cloud technology.	2021-05-27		
Bahrain	Seed Fuel	https://www.seedfuel.co/	Funding	A funding program by Bahrain Development Bank, providing startups at seed and early stages with funding, coaching, mentoring, and training.	2021-05-27		
Egypt	International Conference on Artificial Intelligence, Robotics and Control British University Egypt	http://www.airc.org/	Education and research	Conference on AI and Robotics at the British University of Egypt.	2021-05-27		
Egypt	Faculty of Artificial Intelligence at Kafrelsheikh University	http://www.kfs.edu.eg/ai/	Education and research	Offers taught programs in AI.	2021-05-27		
Egypt	Faculty of Computers and Artificial Intelligence at Cairo Univesity	https://fci.cu.edu.eg/	Education and research	Offers Master’s and a PhD.	2021-05-27		
Egypt	Faculty of computer and Artificial Intelligence at Banha University	http://www.fci.bu.edu.eg/	Education and research	Conducts research in AI.	2021-05-27		
Egypt	Faculty of Computers and Information at Helwan University	http://fcih.helwan.edu.eg/index.php/ar/	Education and research	Offers specialisations in AI.	2021-05-27		
Egypt	Faculty of Media Engineering and Technology at Germany University in Cairo	http://www.guc.edu.eg/en/academic_programs/faculties/faculty_details.aspx?facultyId=1	Education and research	Offers courses in AI on a postgraduate level.	2021-05-27		
Egypt	Faculty of Computers & Artificial Intelligence - Beni Suef University	https://www.fcis.bsu.edu.eg/	Education and research	Offers specialisations in AI.	2021-05-27		
Egypt	American University of Cairo	https://www.aucegypt.edu/	Education and research	Master’s and PhD in Computing, specialities in AI available.	2021-05-27		
Egypt	Falak Startups	http://falakstartups.com/	Funding	A startup accelerator designed to support and empower the next generation of Egyptian entrepreneurs, providing funding and many other services.	2021-05-27		
Egypt	Cairo Angels	http://cairoangels.com/	Funding	An angel investment network, investing in, and supporting early-stage startups in Egypt and across the MENA region.	2021-05-27		
Egypt	Endure Capital	https://www.endurecap.com/	Funding	An early stage investment founder-focused venture capital firm.	2021-05-27		
Egypt	Algebra Ventures	https://algebraventures.com/	Funding	A venture capital fund that invests early stage tech startups.	2021-05-27		
Egypt	Ezdehar	http://ezdehar.com/	Funding	A private equity fund manager investing in high growth businesses in Egypt.	2021-05-27		
